Cell ID,has_aggregate,cell_area,cell_mean_intensity,cell_total_intensity,cell_variance_intensity,cell_sd_intensity,aggregate_total_intensity,aggregate_mean_intensity,rest_of_cell_mean_intensity,rest_of_cell_total_intensity,rest_of_cell_variance_intensity,rest_of_cell_sd_intensity
1,False,1966,19.554425228891148,38444.0,596.4159086981224,24.4216278879628,,,,,,
2,False,2885,20.056383593298673,57862.66666666667,596.6392241255309,24.426199543226755,,,,,,
3,False,2097,11.730885391829597,24599.666666666664,197.8209170192923,14.06488240332255,,,,,,
4,False,2609,12.93369106937524,33744.0,266.39102921489786,16.32148979765321,,,,,,
5,False,3565,17.42459093034128,62118.66666666667,513.8310362398616,22.66784145523922,,,,,,
6,True,2636,17.60558927668184,46408.33333333333,474.88402035330944,21.791833799689954,149.0,49.666666666666664,17.593421884882986,139076.0,473.3982615987368,21.757717288326383
7,False,1610,15.00807453416149,24163.0,318.3868913236372,17.84339909668663,,,,,,
8,False,1700,21.55529411764706,36644.0,678.1143935409457,26.040629668672487,,,,,,
9,False,2056,18.26134889753567,37545.333333333336,539.8577667926673,23.234839504344922,,,,,,
10,False,999,13.390724057390724,13377.333333333334,256.82998402695875,16.025916012102357,,,,,,
11,False,2535,19.834582511505587,50280.666666666664,610.1780282445067,24.70178188399587,,,,,,
12,False,639,19.969744392279605,12760.666666666668,591.8718023864121,24.328415533824067,,,,,,
13,False,3263,17.172438451322915,56033.66666666667,425.83378525836827,20.63574048243407,,,,,,
14,False,1366,28.44241093216203,38852.333333333336,1284.8786991166398,35.845204687888724,,,,,,
15,False,2393,28.122579746482796,67297.33333333333,1226.9856706815845,35.02835523802944,,,,,,
16,False,1851,25.690437601296598,47553.0,979.5621938117469,31.29795830100978,,,,,,
17,True,4873,27.08447910253779,131982.66666666666,1220.3857082090683,34.93401935376272,173.0,57.666666666666664,27.07820197044335,395775.0,1219.515846684988,34.92156707086593
18,False,1621,23.42607443964631,37973.66666666667,824.5735500228362,28.715388731877482,,,,,,
19,False,1475,15.19819209039548,22417.333333333332,326.04908147722557,18.05682921991637,,,,,,
20,False,4372,27.91087221713937,122026.33333333333,1230.242666180378,35.074815269369246,,,,,,
21,False,2451,32.11315109479124,78709.33333333333,1597.0966759539142,39.96369197101181,,,,,,
22,False,3758,22.186712790491395,83377.66666666666,921.684049102006,30.359249811252024,,,,,,
23,False,2680,18.48818407960199,49548.33333333333,501.26030814521926,22.388843385606574,,,,,,
24,False,812,12.289819376026273,9979.333333333334,214.13193247969028,14.633247502850837,,,,,,
25,False,3901,23.36383833205161,91142.33333333333,908.0193776281403,30.133359879511286,,,,,,
26,False,5048,15.890847860538827,80217.0,377.32042865250065,19.42473754397986,,,,,,
27,True,5614,17.643332145825912,99049.66666666667,480.28883126706904,21.915492950583364,114.0,38.0,17.63970544569155,297035.0,479.95231860199596,21.907814099129013
28,False,4075,20.926380368098158,85275.0,670.1976067346657,25.88817503677433,,,,,,
29,False,5024,22.97823779193206,115442.66666666667,864.5673342619262,29.40352588146405,,,,,,
30,False,3799,14.52987628323243,55199.0,317.4641640015407,17.817524070463346,,,,,,
31,True,2860,18.785081585081585,53725.333333333336,557.9125513336702,23.620172550886885,132.0,44.0,18.77626209630407,161044.0,556.9636990745959,23.600078370094366
32,False,4434,26.012328973086753,115338.66666666666,1193.1850832993846,34.54251124772755,,,,,,
